"id_cliente";"id_solicitacao_emp";"id_historico_emp";"idade_cliente";"salario_anual";"propriedade";"anos_trabalhados";"motivo_emp";"pontuacao_emp";"valor_emp_solicitado";"taxa_juros";"possibilidade_inadimplencia";"percentual_emp_salario";"inadimplencia_anterior";"anos_primeira_solc_emp"
"t3taqbqr-znqt";"05k74ngu-0xx0";"simtx6ku-2qya";29;120000;"Própria";11.0;"Pessoal";"D";5000;14.09;0;0.04;"y";5
"glikoh8k-rern";"05lisppg-mp2v";"qyj20jep-zzcv";24;33000;"Alugada";3.0;"Pag. de débitos";"D";6000;15.62;1;0.18;"n";2
"jk8zic5f-bhse";"05ml6l6p-qpa9";"ile70bvi-srer";26;172500;"Alugada";3.0;"Melhora do lar";"B";20000;11.83;0;0.12;"n";2
"t1573yof-qdky";"063ri5ct-0ang";"zzpas9zq-drxo";31;77000;"Alugada";2.0;"Pessoal";"A";15000;8.38;0;0.19;"n";8
"jtnnamqh-zbg7";"066vhx4f-wu3y";"5gmty2ir-mnc0";33;35000;"Alugada";0.0;"Médico";"A";4000;7.88;0;0.11;"n";5
"tyxxqwz6-tovc";"067wg6w0-ouf0";"ojd0bft5-bsdi";30;79200;"Hipoteca";10.0;"Educativo";"A";9000;8.49;1;0.11;"n";8
"acxrfkyc-0edl";"069wbfsy-qg2z";"nqa3sa3h-m8jp";26;54200;"Hipoteca";3.0;"Melhora do lar";"A";7000;7.49;0;0.13;"n";3
"9m9zwwgs-yjgg";"06ctqghw-lkym";"0cliwcsf-dfly";34;64000;"Hipoteca";1.0;"Médico";"A";7200;7.29;0;0.11;"n";7
"6izaiqul-0nej";"06stk9vt-vlmd";"xycpemig-hm0z";34;75000;"Hipoteca";6.0;"Empreendimento";"A";8000;5.42;0;0.11;"n";10
"taiba7f6-trkf";"070dw8qr-pbql";"2zckybeb-nlcd";36;52000;"Hipoteca";20.0;"Empreendimento";"A";8325;0.0;0;0.16;"n";17
"d8rczow7-dndg";"072vri8a-ii6a";"svxhd6o0-enyy";33;55000;"Hipoteca";3.0;"Médico";"A";1775;7.49;0;0.03;"n";7
"kugnnjq3-jeyj";"073r6axj-sfar";"mx6uxe5q-lpch";24;54000;"Alugada";2.0;"Empreendimento";"D";20000;16.49;1;0.37;"n";2
"cipiczey-oxf4";"076nqaca-1i3h";"aoubours-lksl";49;120000;"Hipoteca";12.0;"Médico";"B";12000;10.99;0;0.1;"n";12
"lhk45qdz-czzl";"07bwcazh-awmz";"f0hkpum8-rtrw";21;35000;"Alugada";0.0;"Pessoal";"F";8000;19.79;1;0.23;"y";4
"hmytsgzu-zhjd";"07jjzgnb-8iws";"of2rwp77-n4sh";32;130000;"Alugada";0.0;"Pessoal";"B";12500;9.99;0;0.1;"n";6
"xschylxy-i3ll";"07mjaciw-guno";"gaba3pmk-mykn";27;44000;"Hipoteca";3.0;"Educativo";"C";6400;13.85;0;0.15;"n";10
"jpqo7nkl-kg2l";"07pkowya-3hgt";"jl4hc6gf-tiqn";24;72000;"Alugada";8.0;"Pessoal";"C";16000;13.06;0;0.22;"y";2
"lnno1tkg-iuca";"07r1gdag-txml";"llgozo3b-9nyx";25;61200;"Hipoteca";1.0;"Pessoal";"A";5650;7.66;0;0.09;"n";4
"xepaklju-zp9i";"07ujceeg-mq99";"xwgz8ywo-iay9";31;51500;"Alugada";6.0;"Melhora do lar";"D";19000;14.83;1;0.37;"n";10
"3kidghfn-ajuf";"07yu3ynt-v09x";"ufkiaabn-4nwo";28;57408;"Alugada";2.0;"Melhora do lar";"B";4800;11.99;0;0.08;"n";6
"2bnaxocd-zekf";"080kv9g4-dnnt";"z10b9t2w-d34s";26;183700;"Alugada";2.0;"Pessoal";"D";8000;15.62;1;0.04;"y";4
"fzmtfdyf-7nzr";"086n0enk-lqpd";"bcsfcfpq-l3tg";28;38000;"Alugada";12.0;"Pessoal";"A";3200;9.63;0;0.08;"n";6
"dzd13tjl-qhtj";"08bicqqi-j1dj";"7xsfbl5k-8ynl";23;24000;"Própria";1.0;"Educativo";"B";1500;12.21;0;0.06;"n";2
"f1n0g2hl-sfit";"08cj3apm-rnei";"bee2bdxy-bidi";31;43200;"Hipoteca";0.0;"Empreendimento";"A";3000;8.9;0;0.07;"n";6
"7eykh7bu-akm9";"08i6piqt-8d75";"0zrgsryo-hwpo";62;62050;"Hipoteca";29.0;"Médico";"C";25000;13.43;1;0.34;"y";28
"3xt4ndyj-eurm";"08ts3xsa-kkve";"y8bd2jgz-n2vy";27;150000;"Hipoteca";4.0;"Empreendimento";"C";6000;13.49;0;0.04;"n";6
"iw3bdxtp-wcbc";"090ip8hf-n4cz";"jhboiqto-yspe";35;60000;"Própria";1.0;"Pessoal";"D";5000;15.7;0;0.08;"n";9
"sow4dyde-vmnw";"090njqx8-fwim";"89pyf2c3-2wzq";22;50000;"Hipoteca";6.0;"Educativo";"B";13000;10.65;0;0.26;"n";3
"bqlux4rj-sdzy";"09ez5ehu-fitp";"6sa4mz0s-k5jo";25;41000;"Hipoteca";9.0;"Educativo";"C";5000;11.78;1;0.12;"y";3
"ieemwn7x-y60a";"09fbpdkl-m648";"ss6wbgrc-zyai";39;73000;"Hipoteca";3.0;"Empreendimento";"A";10000;7.51;0;0.14;"n";14
"bzuks5w3-eqfj";"09l7q9fe-b366";"s3swo6z1-tlyy";29;192000;"Hipoteca";6.0;"Empreendimento";"C";15000;14.27;0;0.08;"y";6
"qpbl16qh-8eka";"09oceqai-39zo";"eqekjof7-4pez";33;29736;"Alugada";0.0;"Empreendimento";"B";9250;9.99;1;0.31;"n";10
"0jscrezl-fcj4";"09pgorka-3wkl";"anffwhep-knzv";22;48000;"Hipoteca";6.0;"Educativo";"A";9925;9.63;0;0.21;"n";2
"ccaboecv-rweu";"09qhczyt-hibr";"lmlecnqa-fnwg";26;139992;"Hipoteca";0.0;"Educativo";"B";14400;0.0;0;0.1;"n";4
"edleah72-51ew";"09uog1dj-7tpc";"yzmobrru-0wu0";23;83000;"Hipoteca";7.0;"Educativo";"B";24175;11.11;1;0.29;"n";2
"zo8ne3ur-ykuk";"09wyxk52-qear";"j6eaz3i8-zpyn";32;130000;"Hipoteca";0.0;"Educativo";"A";12000;8.59;0;0.09;"n";5
"q1yjyabv-tjtr";"09zzdkcc-xtvp";"6cl0rphm-jyqc";26;50004;"Hipoteca";10.0;"Educativo";"A";5000;9.32;0;0.1;"n";2
"gzwa7rvj-xyfn";"0a5k9ign-ckpc";"druauqrp-lh6h";24;42300;"Alugada";8.0;"";"B";7500;12.69;0;0.36;"n";3
"srk1dam7-rake";"0a7liysy-2fyx";"ck09cady-k7nh";24;85000;"Alugada";1.0;"Empreendimento";"B";16000;11.99;0;0.19;"n";3
"zdoaepcr-9j9m";"0a9ejad4-i8id";"qa0ot11z-e2bm";27;83000;"Hipoteca";11.0;"Educativo";"A";3500;6.03;0;0.04;"n";5
"f4xlkuo4-otyp";"0a9l61bj-8jtp";"yoq4tc2h-syqo";30;34000;"Hipoteca";8.0;"Pessoal";"A";12000;0.0;1;0.35;"n";10
"ga4xkiud-gxpy";"0ac7fim2-n08z";"cl0fqhnh-1yrr";21;39900;"Alugada";0.0;"Educativo";"A";12000;7.9;0;0.3;"n";4
"oufujqy6-m8mt";"0aczkp08-8w78";"nwbush8w-wjpg";24;73000;"Hipoteca";3.0;"Médico";"A";10000;7.49;0;0.14;"n";3
"cvvgp1xo-hijw";"0ad0utzz-ccmx";"9vy8ykae-tnit";35;60000;"Própria";9.0;"Pessoal";"B";24000;12.53;0;0.4;"n";9
"lsgghkti-xybz";"0adfdzhf-ixta";"l9a0ed4m-0nhs";31;30000;"Alugada";0.0;"Médico";"B";4800;12.42;0;0.16;"n";8
"juwmpiki-phjn";"0ae6r2mt-zrfl";"sibjdnkl-uz6i";36;40000;"Própria";4.0;"Empreendimento";"B";14000;10.99;0;0.35;"n";16
"iqefl5pf-blym";"0aehmg47-xtwt";"pz1nxlku-ki40";24;82000;"Outros";2.0;"Pessoal";"A";14700;9.63;0;0.18;"n";3
"txlebm44-d7pk";"0ahf8bin-2nxm";"csdmslbq-usjm";28;33600;"Alugada";12.0;"Empreendimento";"A";5000;5.42;0;0.15;"n";8
"ghtznklj-dsys";"0aiyfx7e-bnac";"c2a6eg3a-4vov";26;30320;"Alugada";2.0;"Pessoal";"B";7500;12.18;1;0.25;"n";3
"4ainpjh1-um8b";"0aleqaz2-7irj";"mkemkh3f-xphe";30;62000;"Hipoteca";4.0;"Pessoal";"B";8000;0.0;0;0.13;"n";10
"kqwjb5ih-dkgi";"0alzensw-0xey";"kjrfk9s1-ix7q";29;43108;"Alugada";7.0;"Empreendimento";"A";7200;6.03;0;0.17;"n";7
"sayhylrg-oorh";"0ao72ekm-p8jq";"e8rcwq58-zdlf";35;24996;"Alugada";2.0;"Pag. de débitos";"B";6200;0.0;0;0.25;"n";5
"m0yaofy3-kbzx";"0aofzdkx-cyvd";"kmqduhqe-sfmm";23;50000;"Hipoteca";2.0;"Pag. de débitos";"B";14400;10.0;0;0.29;"n";2
"ts0yxpxm-2ozg";"0ap00ms7-rjxz";"83yb0ldr-08om";24;96900;"Hipoteca";8.0;"Pag. de débitos";"A";9300;6.17;0;0.1;"n";2
"jkqojkid-vjbd";"0aqojpus-jrwv";"wcufbhij-vkio";26;30000;"Alugada";7.0;"Pag. de débitos";"D";5000;14.42;1;0.17;"n";4
"r0nrkbr5-gkdp";"0arvz8eb-winq";"j69pnj8f-dasr";28;75000;"Hipoteca";12.0;"Pag. de débitos";"C";15250;11.34;0;0.2;"y";7
"avxlxbjg-mwnd";"0as7d8hv-5s67";"jwvzgmpo-ncfm";30;145000;"Hipoteca";4.0;"Pag. de débitos";"B";6000;10.59;0;0.04;"n";8
"wu530uqp-c2rt";"0asz09qx-qzzx";"qgw1j1nf-cmsh";28;52524;"Hipoteca";11.0;"Médico";"A";9200;9.32;0;0.18;"n";7
"lwfbxqkq-gqi5";"0atne7ps-yq6x";"f1zn68kd-xq2p";34;63500;"Hipoteca";18.0;"Melhora do lar";"A";5125;8.49;0;0.08;"n";5
"mzjbdzlx-kxu4";"0au6cjpg-i0mk";"slh62mad-ox89";23;70000;"Alugada";8.0;"Empreendimento";"A";6725;6.62;0;0.1;"n";2
"pcq7wuay-7dkx";"0auzfdkw-zbcd";"lmbsz0l3-9kya";24;77000;"Hipoteca";8.0;"Médico";"A";14000;8.94;0;0.18;"n";3
"2l4unupc-fj0a";"0ax1qylj-88uz";"zekqu2wa-sbki";23;95000;"Hipoteca";1.0;"Educativo";"C";19800;13.22;1;0.21;"y";4
"tjrxzab2-bdhp";"0bdbnbr2-idin";"wkfx3cv8-agsz";25;39000;"Alugada";4.0;"Médico";"A";4000;7.88;0;0.1;"n";4
"adt8ixtc-3q8h";"0bfoqzgy-bacg";"jkyjhktp-zyv0";40;39500;"Própria";0.0;"Pessoal";"A";10000;7.29;0;0.25;"n";11
"e8iq6flk-mtxo";"0bi8jio3-cqrd";"zpctal3o-rojp";24;40000;"Hipoteca";1.0;"Médico";"B";7500;12.42;0;0.19;"n";4
"12axshiw-dg7o";"0biyhrgu-5xfd";"hozutuqa-pilb";29;28000;"Alugada";2.0;"Pessoal";"D";5000;16.07;1;0.18;"n";8
"83iubo6h-ntnb";"0bj86lxi-5zwt";"ylqn4mzu-phhv";22;110000;"Alugada";3.0;"Pag. de débitos";"B";12600;10.75;0;0.11;"n";2
"uqqx94ab-5p3e";"0bly47cr-2ipl";"jdjfdor4-ena8";24;0;"Alugada";0.0;"Empreendimento";"B";6600;6.92;0;0.0;"n";9
"jtm6twgq-pygi";"0bnnmgmq-jlq8";"ckljybs6-wavm";28;11029;"Hipoteca";12.0;"Pag. de débitos";"C";2150;10.78;1;0.19;"y";6
"3os7zqrw-88lk";"0bqdddo5-xbng";"wrji7d26-msly";36;20004;"Alugada";1.0;"Empreendimento";"B";4375;10.74;0;0.22;"n";17
"pbrnqiw1-jb5j";"0bvmlxey-joau";"j4slpwcx-zwij";33;49000;"Alugada";2.0;"Empreendimento";"B";6000;10.99;0;0.12;"n";6
"rwqrm0z1-buxl";"0bvwj4cm-xxsm";"m4nhfglh-dqi2";23;68500;"Hipoteca";7.0;"Educativo";"C";4200;11.66;0;0.06;"y";4
"1rjro77w-xrwl";"0byrawzi-pqmn";"6qfgo8it-b3a2";23;16000;"Alugada";6.0;"Pag. de débitos";"C";2250;13.49;0;0.14;"n";4
"u0bwznqh-ohbs";"0c3ywwlf-q5ei";"dryjfoda-e9ox";23;26976;"Alugada";4.0;"Educativo";"A";9000;7.51;1;0.33;"n";2
"yc1kpus2-azye";"0c4ki9bj-s2xq";"cnbwbwen-ondv";25;31500;"Alugada";8.0;"Pag. de débitos";"A";14850;8.9;1;0.47;"n";3
"igjyxx8g-gclm";"0c82xxzb-qgzw";"efasvmt1-9abb";22;30000;"Hipoteca";6.0;"Pag. de débitos";"C";5000;13.23;0;0.17;"n";4
"bgwh7ojl-u8wy";"0c8kaxtu-zs3z";"b3j6g2rk-ajhe";22;29654;"Alugada";3.0;"Educativo";"C";7000;14.22;1;0.24;"n";3
"fnqti3um-khcy";"0ca3ryij-pmot";"fxyl6ihu-1p6c";22;30000;"Própria";6.0;"Empreendimento";"A";6000;7.49;0;0.2;"n";3
"gegk9goe-ai5t";"0caeafqh-z6kj";"qxphuljh-wloo";22;50000;"Hipoteca";6.0;"Empreendimento";"B";10000;9.88;0;0.2;"n";4
"3tpcaabi-mfz3";"0ccnu6qy-zoqy";"x28tkffh-wky5";31;25200;"Alugada";0.0;"Pessoal";"A";1400;6.99;0;0.06;"n";6
"spl4e7as-umed";"0cdfmo9h-suzh";"j4caunua-yfn3";32;37000;"Alugada";0.0;"Empreendimento";"B";5000;11.49;0;0.14;"n";7
"z9mbajvn-gzaq";"0cdn9r97-atsw";"8apudskf-auai";27;42996;"Alugada";1.0;"Médico";"C";5000;13.61;0;0.12;"n";6
"fyi2ftww-wl6n";"0cfofo85-sqjd";"zj02tpfe-fqxd";23;90000;"Alugada";2.0;"Médico";"B";20000;11.49;0;0.22;"n";4
"wpwtobxx-xgwp";"0chghosm-tggs";"ueatd24a-zbcr";28;63550;"Hipoteca";12.0;"Melhora do lar";"A";12500;0.0;0;0.2;"n";10
"bhrwej6t-tfpy";"0ci22q0d-trgu";"fupc7zqm-bql9";27;58000;"Alugada";1.0;"Empreendimento";"B";8000;11.36;0;0.14;"n";7
"li2ol3yx-rqm3";"0clx2tyt-7uzg";"tqtt0cfp-pctp";24;60000;"Alugada";0.0;"Empreendimento";"A";6800;7.51;0;0.11;"n";2
"ya434ad4-4kio";"0cn3yu0t-w67v";"qsteun6y-k02n";30;47000;"Alugada";2.0;"Pag. de débitos";"B";13000;9.63;0;0.28;"n";5
"w7kipyms-c5fv";"0cq4ipih-oh3d";"cxyopuf2-bnya";31;56000;"Alugada";15.0;"Pag. de débitos";"C";3000;14.27;0;0.05;"n";6
"guskg8rq-xvef";"0cq6wmce-cn5t";"dpr9qshq-r2pf";23;77000;"Alugada";3.0;"Empreendimento";"B";1150;10.95;0;0.01;"n";2
"fbrfciae-s3hx";"0csfmnf9-2ks1";"5ndqeu1f-moor";31;47000;"Alugada";4.0;"Empreendimento";"A";6000;6.99;0;0.13;"n";7
"obwdgpil-zkha";"0cwmubgq-b5xs";"83mg3lzg-kbh3";25;59000;"Alugada";0.0;"Médico";"D";5000;15.62;1;0.08;"y";3
"jxtlwidf-nwp9";"0czswauk-5xsf";"pg0uqpl5-oipe";22;123000;"Hipoteca";6.0;"Educativo";"A";7000;7.51;0;0.06;"n";4
"15fywcuc-7g4p";"0d1qk8ih-dhce";"tajcxnw7-an0d";25;85000;"Hipoteca";7.0;"Pag. de débitos";"C";12000;14.65;0;0.14;"n";2
"afjkxqki-rf0v";"0daplorm-cllw";"9mhtomx4-fko9";28;53000;"Alugada";0.0;"Médico";"C";12000;14.72;0;0.23;"n";8
"j8mb0yyz-kzeb";"0darpthd-dqm8";"stfkjkm9-ehln";25;31000;"Hipoteca";0.0;"Melhora do lar";"A";5200;5.42;0;0.17;"n";4
"wmxlrsq4-3jot";"0ddkttim-1wbc";"66cyrvir-pq0t";22;126000;"Hipoteca";6.0;"Educativo";"B";24000;11.36;0;0.19;"n";4
"xzjltqmr-sx7i";"0del6qts-hfiq";"pthgnllp-xvtb";22;50000;"Hipoteca";0.0;"Pag. de débitos";"A";12800;5.79;0;0.26;"n";2
"nhhr2qzz-ywh1";"0dfi0ouw-xf6y";"soq5l1to-xph1";24;54000;"Alugada";3.0;"Médico";"C";2400;13.49;1;0.04;"y";4
"urn4ynd0-bs9p";"0dkwsuac-56uh";"sgyt6bzg-x7jg";23;34000;"Própria";7.0;"Empreendimento";"A";10950;7.29;0;0.32;"n";2
"dztj2g5k-tvfv";"0dnt97yh-tnpx";"ofqccc01-wjmr";26;76160;"Hipoteca";10.0;"Educativo";"A";7400;7.51;0;0.1;"n";2
"zgsuilwz-glhx";"0donudqg-bcgi";"sr45ccnk-gbmm";27;55000;"Hipoteca";2.0;"Empreendimento";"D";7000;0.0;0;0.13;"y";7
"ssdwf5tq-gz3g";"0dtgtlra-ku1t";"xlkgcssf-bnyb";37;55000;"Alugada";3.0;"Melhora do lar";"E";7000;16.32;0;0.13;"y";13
"345rstbg-h6ap";"0dw7ykhj-3cja";"1ml4sr2b-ilia";24;87663;"Hipoteca";5.0;"Melhora do lar";"B";14400;0.0;0;0.16;"n";2
"qgwsr0gp-wkzc";"0dxjbcyj-ti1s";"nuhmuyit-qe2t";33;140000;"Hipoteca";14.0;"Pag. de débitos";"A";9600;6.91;0;0.07;"n";5
"uyylphcm-bmem";"0dyis3r0-uxa8";"djq5kdnh-2acx";28;150000;"Própria";12.0;"Melhora do lar";"A";8500;6.76;0;0.06;"n";8
"qwjqrejz-rhsu";"0dzbgfl9-ybzf";"mr4bucxe-6pis";36;30500;"Alugada";3.0;"Melhora do lar";"B";8000;11.11;1;0.26;"n";13
